career,interest_1,interest_2,interest_3,Discrete Mathematics,Fundamentals of Programming,Object-oriented Programming,Data Structures,Web Programming and Development,Computer Organisation and Architecture,Database Systems,Computer Networks,Operating Systems,Computer and Network Security,Artificial Intelligence,Ethics and Professionalism in ICT,Software Engineering and Design,Human-Computer Interaction,Computer Graphics and Visualisation,Statistics,Information Security Management,Introduction to Data Analytics,Computer Simulation and Modelling Design,Big Data Analytics and Development,File System Forensics,Digital Crime Investigation,Data and Digital Media Forensic,Digital Forensics,Digital Image Processing,Network Forensics,Military and Industry Espionage,Operational Research,Ethical Hacker,Natural Language Processing,Computational Intelligence,Knowledge based Systems and Acquisition,Cryptography,Wireless Network Security,Internet of Things,E-Commerce
3,network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,network,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,cloud,network,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,security,robotics,devops,,,,,,,1.0,2.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
3,security,forensics,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
3,software development,coding,devops,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,security,governance and compliance,,,,,,,,,1.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
4,security,coding,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,security,forensics,network,,,,,1.0,,,3.0,,3.0,,,,,,,1.0,,,,,,,2.0,,,,,3.0,,,,,,,
4,security,forensics,coding,,1.0,,,,,,2.0,,3.0,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,
4,coding,governance and compliance,cloud,,,,,,,,1.0,1.0,3.0,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,
4,security,forensics,governance and compliance,,,,,,,,,,3.0,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,
4,security,governance and compliance,,,,,,,,,,,3.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
4,security,forensics,network,,,,,1.0,,,3.0,,3.0,,,,,,,1.0,,,,,,,2.0,,,,,3.0,,,,,,,
4,security,forensics,tech ethics and law,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,
4,security,ethical hacking,web development,,,,,,,,,3.0,3.0,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,
5,web development,database,,,,1.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,database,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ui/ux,ecommerce and fintech,web development,,,,,3.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0
5,ecommerce and fintech,web development,,,,,,3.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0
5,web development,cloud,database,,,,,3.0,,3.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
5,web development,coding,simulation and operations research,,,,,3.0,,,,,,,,3.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,
5,data,database,,,,2.0,,3.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
5,ui/ux,web development,project management,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,
5,ui/ux,software development,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
5,database,,,,,1.0,,3.0,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
